index,DATE,Close_GOOGL,High_GOOGL,Low_GOOGL,Open_GOOGL,Volume_GOOGL,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,Target,FEDFUNDS,DGS10,CPI,Dollar_idx,USEPUINDXD,Close_VIX,High_VIX,Low_VIX,Open_VIX,VIX_percent,Is_Panic,Is_Calm,Is_Uncertain,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL
346.0,2006-01-04,10.809965133666992,10.820893684844556,10.38748188373116,10.494282773400345,524323152.0,62.43210726771809,0.1939560498650312,-0.0379854359757811,0.2319414858408124,0.2498404360025415,9.94877263244608,10.433467674255372,10.918162716064662,9.291159122585444,0.8883859199448527,1,4.16,4.37,198.1,100.7558,88.69,11.140000343322754,12.510000228881836,10.989999771118164,12.25,-0.07705048674526982,0.0,1.0,0.0,18.715057373046875,18.82662243664497,18.199068621415567,18.303660702293723,79973000.0,2.2418301105499268,2.2418301105499268,2.166852402385788,2.1707513264984217,807234400.0
347.0,2006-01-05,11.058587074279783,11.15098188640362,10.922230069420165,11.025305443547843,610844544.0,66.66546063388249,0.2213552956903726,-0.0084689521203518,0.2298242478107244,0.2563530300549763,9.952426994610176,10.482384872436525,11.012342750262867,10.111398966467505,1.0436301883147658,1,4.16,4.36,198.1,100.2288,61.32,11.369999885559082,11.710000038146973,10.970000267028809,11.220000267028809,0.02064627784093287,0.0,1.0,0.0,18.805702209472656,18.882403684214907,18.666246554439923,18.666246554439923,57975600.0,2.2484283447265625,2.2787189882874235,2.2343322328737605,2.2532266206783884,619603600.0
348.0,2006-01-06,11.20761013031006,11.215310092154787,10.965695029122436,11.07746326446492,431899668.0,68.9257645375118,0.2521872529213009,0.0178904040884612,0.2342968488328397,0.2558717466962174,9.959310365739016,10.540380096435548,11.12144982713208,11.02559348676682,1.0741393834735642,1,4.16,4.36,198.1,100.2992,112.3,11.3100004196167,11.84000015258789,11.3100004196167,11.430000305175781,-0.005276997937228467,0.0,1.0,0.0,18.81965446472168,18.91727358887132,18.76387191807034,18.79873551099212,48245500.0,2.23073410987854,2.2463290078347864,2.21183972136718,2.2442295868420117,449422400.0
349.0,2006-01-09,11.56576442718506,11.685976577056056,11.257284209614696,11.347443322017943,709565724.0,73.56506052329652,0.3020401291016981,0.0541946242150866,0.2478455048866114,0.2717642252712016,9.922621745904848,10.616680335998536,11.310738926092224,13.074870263170812,1.1837204414244131,1,4.16,4.38,198.1,100.0241,36.95,11.0,11.5,10.8100004196167,11.229999542236328,-0.02740940832141947,0.0,1.0,0.0,18.763872146606445,18.82662767859864,18.47101344062981,18.749926177283548,100963000.0,2.288316249847412,2.3003129403078915,2.235831930353556,2.2568257382358143,704457600.0
350.0,2006-01-10,11.596563339233398,11.758006024741965,11.44853287936246,11.584392951283602,511164324.0,73.92556972156056,0.3401134908411727,0.073814388763649,0.2662991020775236,0.2744577195646518,9.894912852892617,10.68653531074524,11.478157768597864,14.81532479580454,1.0747866419534915,1,4.16,4.38,198.1,100.1794,41.45,11.130000114440918,11.350000381469727,10.979999542236328,11.350000381469727,0.011818192221901613,0.0,1.0,0.0,18.729005813598633,18.87543448018708,18.65927730714481,18.777815369128117,55625000.0,2.2808194160461426,2.3153097205356645,2.2715225762840787,2.3012136012229076,675040800.0
351.0,2006-01-11,11.667598724365234,11.679768165592591,11.4758540665947,11.534966296783,363520116.0,74.77986781154928,0.37173375095138,0.0843477190990851,0.2873860318522949,0.269418889524169,9.896944815295448,10.761742734909058,11.62654065452267,16.071707732026905,1.023738534119572,0,4.16,4.43,198.1,100.1436,61.14,10.859999656677246,11.390000343322754,10.84000015258789,11.390000343322754,-0.02425880098719424,0.0,1.0,0.0,18.82662582397461,18.84057179192368,18.540740130822225,18.582576704708725,64921900.0,2.4250760078430176,2.4559670941462417,2.2742209859721867,2.2868171141167504,2279869200.0
352.0,2006-01-12,11.714044570922852,11.800478176184424,11.65319263226667,11.70510277181747,359935704.0,75.34858107458403,0.395976258729485,0.086872181501752,0.309104077227733,0.2606950791237107,9.907328762717675,10.835037803649904,11.76274684458213,17.124241885334587,0.973751320990502,1,4.16,4.46,198.1,99.871,21.72,10.9399995803833,11.15999984741211,10.829999923706055,11.029999732971191,0.007366475712259124,0.0,1.0,0.0,19.02883529663086,19.09856246519545,18.75689428537911,18.833595766752744,70120700.0,2.516249179840088,2.543240338504812,2.4769606095941015,2.514449675830248,1493794400.0
353.0,2006-01-13,11.515345573425291,11.79749830195616,11.462442528402423,11.76595448748482,404606988.0,68.25724261051116,0.3946064942683147,0.0684019336324653,0.3262045606358493,0.266006557297284,9.944392636794344,10.892337560653688,11.840282484513027,17.405720646844387,0.8286098153441073,1,4.16,4.42,198.1,100.0643,77.97,11.199999809265137,11.380000114440918,10.9399995803833,10.979999542236328,0.023766018176824,0.0,1.0,0.0,18.924236297607425,19.007910737129706,18.805698284094237,19.000937756339507,45994800.0,2.5279452800750732,2.5912264394011086,2.507851818697344,2.548339459650004,1280809600.0
354.0,2006-01-17,11.58042049407959,11.596316396527012,11.465174728074423,11.532234915790118,305957736.0,69.27705125068287,0.3942275386398979,0.0544183824032388,0.3398091562366591,0.2563733509512344,9.984665371024656,10.951065635681154,11.917465900337652,17.649428773538492,0.8256181115710566,0,4.16,4.36,198.1,99.9675,62.06,11.229999542236328,11.609999656677246,11.109999656677246,11.399999618530273,0.002678547632328998,0.0,1.0,0.0,18.9591064453125,19.00094301166485,18.833595416294983,18.84754138173259,41418000.0,2.566934585571289,2.579530716049792,2.537243563577757,2.5489395414251867,776305600.0
355.0,2006-01-18,11.60177993774414,11.67107675989836,11.48802588945539,11.501189181070137,330481188.0,69.62203111192431,0.3911419018029534,0.0410661964530354,0.3500757053499179,0.2511360309149298,10.023349424389902,11.00640335083008,11.989457277270258,17.86330911389029,0.8028199017881096,0,4.16,4.34,198.1,100.2447,32.93,11.90999984741211,12.460000038146973,11.869999885559082,12.130000114440918,0.06055212225239037,0.0,1.0,0.0,18.81965446472168,18.95911149633044,18.756898933493822,18.756898933493822,58566600.0,2.540540933609009,2.5906261166611553,2.5153484835537703,2.5702319425043494,835623600.0
