DATE,Ticker,Headline
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,AAPL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,GOOGL,
1970-01-01,MSFT,
1970-01-01,MSFT,
1970-01-01,MSFT,
1970-01-01,MSFT,
1970-01-01,MSFT,
1970-01-01,MSFT,
1970-01-01,MSFT,
1970-01-01,MSFT,
1970-01-01,MSFT,
1970-01-01,MSFT,
